b'building_id',parcel_id,development_type_id,improvement_value,residential_units,residential_sqft,sqft_per_unit,non_residential_sqft,building_sqft,res_price_per_sqft,stories,year_built,redfin_sale_price,redfin_sale_year,redfin_home_type,building_type_id630,1868920,1,40543.0,1,1610,1610.0,0,1610.0,261.026880345,1,1949,820000.0,2013.0,Single Family Residential,1
199886,739717,1,95128.0,1,1333,1333.0,0,1333.0,287.39094063,1,1942,490000.0,2007.0,Single Family Residential,1
204261,1612061,2,252906.875,0,0,1194.0,0,0.0,0.0,2,1996,,,,3
210013,1091146,1,313549.0,1,2140,2140.0,0,2140.0,295.033473763,1,1954,390000.0,1997.0,Single Family Residential,1
210046,1092355,1,202973.0,1,1945,1945.37009674,0,1945.37009674,469.800098768,1,1962,,,,1
213140,2031284,2,190000.0,1,1078,1078.0,0,1078.0,287.430057306,1,1995,295000.0,2004.0,Condo/Coop,3
228624,877607,24,9278.5,0,0,0.0,0,0.0,0.0,1,1996,,,,16
231408,739424,1,23048.0,1,912,912.0,0,912.0,382.328629508,1,1955,,,,1
234174,370209,2,259000.0,1,1396,1396.0,0,1396.0,338.763761438,2,2004,,,,3
234596,1111860,1,91188.0,1,1945,1945.37009674,0,1945.37009674,229.610139911,1,1980,,,,1
238893,106948,2,16978.0,2,1493,746.5,0,1493.0,802.071476583,1,1959,,,,3
246605,316074,1,468793.0,2,3410,1705.0,0,3410.0,213.004439382,2,2006,551500.0,1999.0,Single Family Residential,1
262695,1170455,2,412984.0,2,11542,5771.0,0,11542.0,200.308835448,1,1946,1025000.0,2002.0,Multi-Family (2-4 Unit),3
265274,875207,2,213265.0,2,816,408.0,0,816.0,799.520364683,3,2010,,,,3
272182,1232384,1,368026.0,1,1350,1350.0,0,1350.0,518.760590759,1,1975,680000.0,2004.0,Single Family Residential,1
273674,66357,1,228200.0,1,1662,1662.0,0,1662.0,197.993966033,2,1990,465000.0,2013.0,Single Family Residential,1
285402,1865356,1,271000.0,1,2366,2366.0,0,2366.0,140.006077001,1,2004,394500.0,2002.0,Single Family Residential,1
287047,754204,1,117687.0,1,2029,2029.42425042,0,2029.42425042,315.200734849,1,1929,,,,1
288487,1614143,1,248499.36,1,1372,1372.0,0,1372.0,288.691614732,1,1976,94000.0,2005.0,Single Family Residential,1
293181,823766,1,162393.0,1,1263,1263.0,0,1263.0,343.923146962,1,1968,219500.0,1991.0,Single Family Residential,1
297835,4511,1,0.0,1,1663,1663.78168077,0,1663.78168077,177.987603986,1,1954,,,,1
300280,45090,1,167118.0,1,862,862.0,0,862.0,407.899371424,2,1946,163000.0,1988.0,Single Family Residential,1
307637,248365,1,223469.0,1,1050,1050.0,0,1050.0,282.483490346,1,1951,320000.0,2008.0,Single Family Residential,1
308873,110282,1,506100.0,3,6114,2038.0,0,6114.0,308.365733967,2,1917,816000.0,2013.0,Single Family Residential,1
310956,1610503,24,0.0,0,0,0.0,0,0.0,0.0,1,1900,,,,16
312647,267479,2,380558.0,7,7206,1029.42857143,0,7206.00000001,274.699045378,2,1979,,,,3
312941,1643694,1,254178.5718,1,2023,2023.0,0,2023.0,344.735303239,2,1978,680000.0,2010.0,Single Family Residential,1
329914,1558634,1,30839.258,1,1263,1263.0,0,1263.0,49.214225821,1,1961,,,,1
330387,637779,1,164824.0,1,1601,1601.0,0,1601.0,176.528709767,1,1993,360000.0,2003.0,Single Family Residential,1
331647,1464857,1,297148.4943,1,3088,3088.0,0,3088.0,281.40559796,2,1997,576000.0,1996.0,Single Family Residential,1
335454,1008676,5,243476.0,1,1200,1200.0,0,1200.0,433.24117545,2,1927,,,,12
338888,1163119,1,571200.0,1,2240,2240.0,0,2240.0,372.520802577,1,1923,1120000.0,2008.0,Single Family Residential,1
343915,1041060,1,267836.0,2,2400,1200.0,0,2400.0,715.36946667,2,1973,,,,1
346720,1373003,7,0.0,0,0,0.0,1288,1288.0,0.0,1,1922,,,,10
356567,1340182,1,97587.8344,1,2281,2281.0,0,2281.0,633.145056484,1,1965,,,,1
357174,706559,1,2170657.0,1,6279,6279.0,0,6279.0,454.978295596,1,2002,,,,1
359583,1345089,1,267595.2975,1,2088,2088.0,0,2088.0,663.130911724,1,1973,,,,1
360925,723139,1,271591.0,1,2338,2338.0,0,2338.0,431.352037255,1,1959,,,,1
361675,733955,1,9494.0,1,1491,1491.0,2546,2962.0,329.958309457,1,1951,,,,1
365392,1624658,1,39088.761,2,2324,1162.0,0,2324.0,186.748124184,1,1973,400000.0,2010.0,Single Family Residential,1
366341,1522839,1,229371.869,1,1658,1658.0,0,1658.0,333.439443187,1,1968,720000.0,2002.0,Single Family Residential,1
368533,1437516,1,149971.0041,1,1594,1594.0,0,1594.0,99.5236125761,2,1964,650000.0,2012.0,Single Family Residential,1
375488,1428196,1,214031.116,1,2293,2293.0,0,2293.0,111.620496476,1,1995,,,,1
382921,191962,1,360500.0,1,608,608.0,0,608.0,660.068379303,1,1956,700000.0,2005.0,Single Family Residential,1
384054,471702,1,67358.0,1,1096,1096.0,0,1096.0,99.4712453099,1,1938,131500.0,1991.0,Single Family Residential,1
384284,1469385,1,133219.7947,1,1335,1335.0,0,1335.0,150.644464316,1,1961,300000.0,2013.0,Single Family Residential,1
